material_id,pretty_formula,Li,Mn,Ni,O,formation_energy_per_atom,crystal_system,spacegroup.symbol,nsites,volume,density,band_gap,e_above_hull
mp-1177345,Li4MnNi3O8,0.25,0.0625,0.1875,0.5,-1.648340267,trigonal,R-3m,16,141.3790271,4.542817068,0,0.008385816
mp-775319,Li2Mn3NiO8,0.142857143,0.214285714,0.071428571,0.571428571,-1.85849836,trigonal,R3m,14,142.4183449,4.260235065,0.7827,0.076778389
mp-753347,Li2MnNiO4,0.25,0.125,0.125,0.5,-1.870970397,orthorhombic,Imma,16,143.5154738,4.431739151,0.2557,0.030842478
mp-755150,LiMn3(NiO4)2,0.071428571,0.214285714,0.142857143,0.571428571,-1.699157486,orthorhombic,Imm2,14,147.4045356,4.699126156,0,0.058753234
mp-758663,Li4Mn(Ni2O5)2,0.210526316,0.052631579,0.210526316,0.526315789,-1.353546404,triclinic,P-1,38,345.7000733,4.586964596,0,0.158558857
mp-752530,Li2MnNi3O8,0.142857143,0.071428571,0.214285714,0.571428571,-1.339410038,monoclinic,C2/m,14,138.3943079,4.474226315,0.1385,0.055105051
mp-755837,Li5Mn3(NiO5)2,0.25,0.15,0.1,0.5,-1.880619787,triclinic,P-1,20,184.510074,4.291966046,0.466,0.074992009
mp-756534,Li4Mn5Ni3O16,0.142857143,0.178571429,0.107142857,0.571428571,-1.739713561,monoclinic,Cm,28,271.6485984,4.49001826,0,0.060372774
mp-757987,Li3Mn3NiO8,0.2,0.2,0.066666667,0.533333333,-1.932477773,triclinic,P-1,15,145.825869,4.239723945,0.3934,0.219996132
mp-760206,Li4Mn3NiO8,0.25,0.1875,0.0625,0.5,-2.01016611,monoclinic,C2/m,16,147.3507667,4.274068226,0.2108,0.026144067
mp-554979,Li2Mn2NiO6,0.181818182,0.181818182,0.090909091,0.545454545,-1.853766073,orthorhombic,Cmce,22,227.3775549,4.0670118,1.4056,0.069341995
mp-1177919,Li2Mn3NiO8,0.142857143,0.214285714,0.071428571,0.571428571,-1.887035875,monoclinic,P2_1,56,570.8869017,4.251179174,1.6272,0.048240874
mp-25284,LiMn2NiO6,0.1,0.2,0.1,0.6,-1.675587148,monoclinic,C2/c,20,227.7226339,3.959622194,1.3384,0.068042685
